player_id,player_name,matches_played,total_minutes_played,total_passes,passes_per90,total_shot_assists,total_goal_assists,shot_assists_per90,goal_assists_per90
99174.0,Kobbie Mainoo,5,425.88,201,42.48,4,0,0.85,0.0
21582.0,Tijjani Reijnders,6,530.6,269,45.63,2,0,0.34,0.0
15503.0,Jerdy Schouten,6,537.18,328,54.95,3,0,0.5,0.0
3943.0,Declan Rice,7,673.17,536,71.66,3,1,0.4,0.13
39167.0,Xavi Simons,5,455.28,156,30.84,6,3,1.19,0.59
21633.0,Joey Veerman,4,357.22,131,33.01,5,0,1.26,0.0
29399.0,Conor Gallagher,5,435.05,55,11.38,0,0,0.0,0.0
16532.0,Daniel Olmo Carvajal,5,452.22,139,27.66,7,1,1.39,0.2
4354.0,Phil Foden,2,189.05,78,37.13,2,0,0.95,0.0
6765.0,Rodrigo Hernández Cascante,6,523.15,436,75.01,6,0,1.03,0.0
6655.0,Fabián Ruiz Peña,5,471.17,362,69.15,6,2,1.15,0.38
24921.0,Martín Zubimendi Ibáñez,3,289.75,115,35.72,2,0,0.62,0.0
30714.0,Jude Bellingham,6,465.15,319,61.72,4,1,0.77,0.19
39461.0,Cole Palmer,1,96.05,7,6.56,1,0,0.94,0.0
3042.0,Mikel Merino Zazón,6,579.55,136,21.12,4,0,0.62,0.0
10481.0,Aurélien Djani Tchouaméni,2,194.37,144,66.68,0,0,0.0,0.0
5487.0,Antoine Griezmann,4,351.58,126,32.25,4,0,1.02,0.0
24778.0,Eduardo Camavinga,2,198.23,20,9.08,2,0,0.91,0.0
7039.0,Hakan Çalhanoğlu,4,375.83,258,61.78,4,0,0.96,0.0
9085.0,Salih Özcan,4,322.08,72,20.12,0,0,0.0,0.0
2988.0,Memphis Depay,2,188.02,72,34.47,3,1,1.44,0.48
12555.0,Okay Yokuşlu,2,199.03,24,10.85,0,0,0.0,0.0
116587.0,Arda Güler,2,194.27,74,34.28,1,1,0.46,0.46
33281.0,Joshua Zirkzee,1,98.23,1,0.92,0,0,0.0,0.0
149576.0,Semih Kılıçsoy,1,98.23,1,0.92,0,0,0.0,0.0
12169.0,João Maria Lobo Alves Palhinha Gonçalves,4,280.93,185,59.27,1,0,0.32,0.0
34639.0,Vitor Machado Ferreira,4,259.25,326,113.17,4,0,1.39,0.0
5204.0,Bruno Miguel Borges Fernandes,4,362.43,296,73.5,8,0,1.99,0.0
3193.0,Bernardo Mota Veiga de Carvalho e Silva,3,285.87,209,65.8,6,0,1.89,0.0
9927.0,Rúben Diogo Da Silva Neves,4,382.15,118,27.79,1,0,0.24,0.0
40874.0,Matheus Luiz Nunes,2,189.47,17,8.08,1,0,0.48,0.0
8518.0,Marcel Sabitzer,2,199.45,70,31.59,4,0,1.8,0.0
39460.0,Nicolas Seiwald,4,390.93,230,52.95,5,0,1.15,0.0
11396.0,Florian Grillitsch,4,268.35,163,54.67,1,1,0.34,0.34
3567.0,Georginio Wijnaldum,2,195.37,12,5.53,0,0,0.0,0.0
8506.0,Konrad Laimer,4,351.87,128,32.74,2,0,0.51,0.0
24977.0,Christoph Baumgartner,4,376.68,108,25.8,5,1,1.19,0.24
