player_id,player_name,matches_played,total_minutes_played,total_passes,passes_per90,total_shot_assists,total_goal_assists,shot_assists_per90,goal_assists_per90
99174.0,Kobbie Mainoo,5,425.88,201,42.48,4,0,0.85,0.0
21582.0,Tijjani Reijnders,6,530.6,269,45.63,2,0,0.34,0.0
15503.0,Jerdy Schouten,6,537.18,328,54.95,3,0,0.5,0.0
3943.0,Declan Rice,7,673.17,536,71.66,3,1,0.4,0.13
39167.0,Xavi Simons,5,455.28,156,30.84,6,3,1.19,0.59
29399.0,Conor Gallagher,5,435.05,55,11.38,0,0,0.0,0.0
16532.0,Daniel Olmo Carvajal,5,452.22,139,27.66,7,1,1.39,0.2
6765.0,Rodrigo Hernández Cascante,6,523.15,436,75.01,6,0,1.03,0.0
6655.0,Fabián Ruiz Peña,5,471.17,362,69.15,6,2,1.15,0.38
30714.0,Jude Bellingham,6,465.15,319,61.72,4,1,0.77,0.19
3042.0,Mikel Merino Zazón,6,579.55,136,21.12,4,0,0.62,0.0
7039.0,Hakan Çalhanoğlu,4,375.83,258,61.78,4,0,0.96,0.0
5204.0,Bruno Miguel Borges Fernandes,4,362.43,296,73.5,8,0,1.99,0.0
9927.0,Rúben Diogo Da Silva Neves,4,382.15,118,27.79,1,0,0.24,0.0
39460.0,Nicolas Seiwald,4,390.93,230,52.95,5,0,1.15,0.0
24977.0,Christoph Baumgartner,4,376.68,108,25.8,5,1,1.19,0.24
3570.0,Pierre-Emile Højbjerg,4,376.68,298,71.2,3,0,0.72,0.0
3500.0,Granit Xhaka,5,480.3,405,75.89,8,0,1.5,0.0
6983.0,Remo Freuler,5,367.82,235,57.5,1,2,0.24,0.49
5574.0,Toni Kroos,5,473.62,545,103.56,15,0,2.85,0.0
10287.0,İlkay Gündoğan,5,407.88,168,37.07,1,1,0.22,0.22
3089.0,Kevin De Bruyne,4,386.18,228,53.14,10,0,2.33,0.0
48347.0,Amadou Onana,4,386.18,235,54.77,1,0,0.23,0.0
31968.0,Adam Gnezda Čerin,4,383.65,165,38.71,2,0,0.47,0.0
